year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2022,7,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",33.00,2.00,0.92,1.00,0.08,0.00,0.00,0.00,0.00,129.00,98.00,23.00,8.00,0.00,0.00
2022,7,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",78.00,25.00,11.80,0.72,5.01,0.00,7.48,0.00,0.00,1664.00,887.00,52.00,224.00,0.00,501.00
2022,7,9E,Endeavor Air Inc.,ACK,"Nantucket, MA: Nantucket Memorial",124.00,19.00,5.84,1.00,6.76,0.00,5.40,5.00,4.00,1523.00,388.00,35.00,511.00,0.00,589.00
2022,7,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",67.00,10.00,1.32,1.00,2.40,1.00,4.28,0.00,1.00,657.00,103.00,82.00,93.00,25.00,354.00
2022,7,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",174.00,30.00,18.10,5.75,3.60,0.00,2.55,1.00,0.00,2462.00,1686.00,310.00,139.00,0.00,327.00
2022,7,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",114.00,16.00,3.70,1.82,2.33,0.00,8.15,5.00,0.00,1145.00,131.00,207.00,64.00,0.00,743.00
2022,7,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2219.00,470.00,111.62,23.02,129.81,0.00,205.56,8.00,10.00,41843.00,18321.00,1554.00,7029.00,0.00,14939.00
2022,7,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",17.00,3.00,1.69,0.00,1.31,0.00,0.00,0.00,0.00,73.00,43.00,0.00,30.00,0.00,0.00
2022,7,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",37.00,4.00,3.00,1.00,0.00,0.00,0.00,3.00,0.00,301.00,279.00,22.00,0.00,0.00,0.00
2022,7,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",59.00,13.00,3.82,1.00,6.00,0.00,2.18,7.00,0.00,630.00,195.00,20.00,321.00,0.00,94.00
2022,7,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",70.00,10.00,7.93,1.00,1.00,0.00,0.07,0.00,1.00,477.00,392.00,64.00,15.00,0.00,6.00
2022,7,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",31.00,6.00,2.47,0.00,2.53,0.00,1.00,0.00,0.00,219.00,150.00,0.00,51.00,0.00,18.00
2022,7,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",183.00,33.00,13.06,0.11,8.45,0.00,11.38,22.00,0.00,2615.00,633.00,22.00,974.00,0.00,986.00
2022,7,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",54.00,12.00,4.58,0.97,4.62,0.00,1.83,8.00,0.00,724.00,151.00,283.00,217.00,0.00,73.00
2022,7,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",26.00,5.00,2.28,0.00,1.72,0.00,1.00,0.00,0.00,122.00,48.00,0.00,48.00,0.00,26.00
2022,7,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",214.00,56.00,18.94,2.81,20.68,0.00,13.57,23.00,0.00,3797.00,1286.00,302.00,1125.00,0.00,1084.00
2022,7,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",344.00,72.00,22.11,1.94,20.21,0.00,27.74,21.00,0.00,7217.00,3628.00,119.00,1011.00,0.00,2459.00
